#STATION | NAME                                     | COUNTRY                        | LAT    | LON    | ELEV   | START      | STOP 
1        | Vaexjoe                                  | SWEDEN                         |  56.87 |  14.80 |  166.0 | 1950-01-01 | 2006-12-31
2        | Falun                                    | SWEDEN                         |  60.62 |  15.62 |  160.0 | 1950-01-01 | 2020-12-31
3        | Stensele                                 | SWEDEN                         |  65.07 |  17.15 |  325.0 | 1950-01-01 | 2004-12-31
4        | Linkoeping                               | SWEDEN                         |  58.40 |  15.53 |   93.0 | 1950-01-01 | 2020-12-31
5        | Linkoeping-Malmslaett                    | SWEDEN                         |  58.40 |  15.53 |   93.0 | 1950-01-01 | 2020-12-31
6        | Karlstad                                 | SWEDEN                         |  59.35 |  13.47 |   46.0 | 1950-01-01 | 2008-12-31
7        | Karlstad-Airport                         | SWEDEN                         |  59.44 |  13.34 |  107.0 | 1950-01-01 | 2020-12-31
8        | Oestersund                               | SWEDEN                         |  63.18 |  14.48 |  376.0 | 1950-01-01 | 2020-12-31
9        | Oestersund-Froesoen                      | SWEDEN                         |  63.18 |  14.48 |  376.0 | 1950-01-01 | 2020-12-31
10       | Stockholm                                | SWEDEN                         |  59.35 |  18.05 |   44.0 | 1950-01-01 | 2020-12-31
11       | Kremsmuenster                            | AUSTRIA                        |  48.05 |  14.13 |  383.0 | 1950-01-01 | 2020-12-31
12       | Graz                                     | AUSTRIA                        |  47.08 |  15.45 |  366.0 | 1950-01-01 | 2020-12-31
13       | Innsbruck                                | AUSTRIA                        |  47.27 |  11.40 |  577.0 | 1950-01-01 | 2020-12-31
14       | Salzburg                                 | AUSTRIA                        |  47.80 |  13.00 |  437.0 | 1950-01-01 | 2020-12-31
15       | Sonnblick                                | AUSTRIA                        |  47.05 |  12.95 | 3106.0 | 1950-01-01 | 2020-12-31
16       | Wien                                     | AUSTRIA                        |  48.23 |  16.35 |  198.5 | 1950-01-01 | 2020-12-31
17       | Uccle                                    | BELGIUM                        |  50.80 |   4.35 |  100.0 | 1950-01-01 | 2020-12-31
18       | Kneja                                    | BULGARIA                       |  43.50 |  24.08 |  116.0 | 1950-01-01 | 2010-12-31
19       | Obraszov-Chiflik                         | BULGARIA                       |  43.80 |  26.03 |  156.0 | 1950-01-01 | 2010-12-31
20       | Sadovo                                   | BULGARIA                       |  42.15 |  24.95 |  155.0 | 1950-01-01 | 2018-12-31
21       | Zagreb-Gric                              | CROATIA                        |  45.82 |  15.98 |  156.5 | 1950-01-01 | 2020-12-31
22       | Amiandos                                 | CYPRUS                         |  34.93 |  32.92 | 1360.0 | 1976-01-01 | 2012-12-31
23       | Larnaca                                  | CYPRUS                         |  34.88 |  33.63 |    1.0 | 1976-01-01 | 2020-12-31
24       | Limassol                                 | CYPRUS                         |  34.67 |  33.05 |    5.0 | 1975-01-01 | 2020-12-31
25       | Nicosia                                  | CYPRUS                         |  35.17 |  33.35 |  160.0 | 1950-01-01 | 2013-12-31
26       | Polis                                    | CYPRUS                         |  35.03 |  32.43 |   20.0 | 1971-01-01 | 2013-12-31
27       | Praha-Klementinum                        | CZECH REPUBLIC                 |  50.09 |  14.42 |  190.7 | 1950-01-01 | 2020-12-31
28       | HELSINKI KAISANIEMI                      | FINLAND                        |  60.17 |  24.95 |    4.0 | 1950-01-01 | 2020-12-31
29       | JYVASKYLA LENTOASEMA                     | FINLAND                        |  62.40 |  25.68 |  139.0 | 1951-01-01 | 2020-12-31
30       | SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS   | FINLAND                        |  67.37 |  26.63 |  179.0 | 1950-01-01 | 2020-12-31
31       | Marseille Obs. Palais-Lonchamp           | FRANCE                         |  43.30 |   5.40 |   75.0 | 1950-01-01 | 2003-12-31
32       | Bourges                                  | FRANCE                         |  47.06 |   2.36 |  161.0 | 1950-01-01 | 2020-12-31
33       | Toulouse-Blagnac                         | FRANCE                         |  43.62 |   1.38 |  151.0 | 1950-01-01 | 2020-12-31
34       | Bordeaux-Merignac                        | FRANCE                         |  44.83 |  -0.69 |   47.0 | 1950-01-01 | 2020-12-31
35       | Chateauroux Deols                        | FRANCE                         |  46.87 |   1.74 |  158.0 | 1950-01-01 | 2020-12-31
36       | Perpignan                                | FRANCE                         |  42.74 |   2.87 |   42.0 | 1950-01-01 | 2020-12-31
37       | Lyon - St Exupery                        | FRANCE                         |  45.73 |   5.08 |  235.0 | 1975-01-01 | 2020-12-31
38       | Paris - Montsouris                       | FRANCE                         |  48.82 |   2.34 |   75.0 | 1950-01-01 | 2020-12-31
39       | Marignane                                | FRANCE                         |  43.44 |   5.22 |    9.0 | 1950-01-01 | 2020-12-31
40       | Bamberg                                  | GERMANY                        |  49.88 |  10.92 |  240.0 | 1950-01-01 | 2020-12-31
41       | Berlin-Dahlem                            | GERMANY                        |  52.46 |  13.30 |   51.0 | 1950-01-01 | 2020-12-31
42       | Bremen                                   | GERMANY                        |  53.05 |   8.80 |    4.0 | 1950-01-01 | 2020-12-31
43       | Dresden Wahnsdorf                        | GERMANY                        |  51.12 |  13.68 |  246.0 | 1950-01-01 | 2020-12-31
44       | Frankfurt                                | GERMANY                        |  50.05 |   8.60 |  112.0 | 1950-01-01 | 2020-12-31
45       | Halle                                    | GERMANY                        |  51.51 |  11.95 |   93.0 | 1950-01-01 | 2015-12-31
46       | Hamburg Bergedorf                        | GERMANY                        |  53.48 |  10.24 |   35.0 | 1950-01-01 | 2004-12-31
47       | Hamburg Fuhlsbuettel                     | GERMANY                        |  53.63 |   9.99 |   11.0 | 1950-01-01 | 2020-12-31
48       | Hohenpeissenberg                         | GERMANY                        |  47.80 |  11.01 |  977.0 | 1950-01-01 | 2020-12-31
49       | Jena Sternwarte                          | GERMANY                        |  50.93 |  11.58 |  155.0 | 1950-01-01 | 2020-12-31
50       | Kaiserslautern                           | GERMANY                        |  49.43 |   7.74 |  285.0 | 1950-01-01 | 2020-12-31
51       | Karlsruhe                                | GERMANY                        |  49.04 |   8.37 |  112.0 | 1950-01-01 | 2020-12-31
52       | Muenchen                                 | GERMANY                        |  48.16 |  11.54 |  515.0 | 1950-01-01 | 2020-12-31
53       | Muenster                                 | GERMANY                        |  51.95 |   7.59 |   62.0 | 1950-01-01 | 2003-12-31
54       | Potsdam                                  | GERMANY                        |  52.38 |  13.06 |   81.0 | 1950-01-01 | 2020-12-31
55       | Schwerin                                 | GERMANY                        |  53.64 |  11.39 |   59.0 | 1950-01-01 | 2020-12-31
56       | Stuttgart                                | GERMANY                        |  48.77 |   9.18 |  401.0 | 1950-01-01 | 2004-12-31
57       | Trier                                    | GERMANY                        |  49.75 |   6.65 |  144.0 | 1950-01-01 | 2020-12-31
58       | Zugspitze                                | GERMANY                        |  47.42 |  10.99 | 2964.0 | 1950-01-01 | 2020-12-31
59       | Corfu                                    | GREECE                         |  39.62 |  19.92 |   11.3 | 1955-01-01 | 2004-12-31
